,index,base,date,rates
0,AED,EUR,2020-06-22,4.135254
1,AFN,EUR,2020-06-22,86.91184
2,ALL,EUR,2020-06-22,124.36
3,AMD,EUR,2020-06-22,539.270853
4,ANG,EUR,2020-06-22,2.020951
5,AOA,EUR,2020-06-22,682.636585
6,ARS,EUR,2020-06-22,78.726192
7,AUD,EUR,2020-06-22,1.627822
8,AWG,EUR,2020-06-22,2.026531
9,AZN,EUR,2020-06-22,1.913032
10,BAM,EUR,2020-06-22,1.963504
11,BBD,EUR,2020-06-22,2.273307
12,BDT,EUR,2020-06-22,95.583728
13,BGN,EUR,2020-06-22,1.957313
14,BHD,EUR,2020-06-22,0.424627
15,BIF,EUR,2020-06-22,2151.500055
16,BMD,EUR,2020-06-22,1.12585
17,BND,EUR,2020-06-22,1.570793
18,BOB,EUR,2020-06-22,7.785591
19,BRL,EUR,2020-06-22,5.908348
20,BSD,EUR,2020-06-22,1.125885
21,BTC,EUR,2020-06-22,0.000117
22,BTN,EUR,2020-06-22,85.591998
23,BWP,EUR,2020-06-22,13.276894
24,BYN,EUR,2020-06-22,2.672445
25,BYR,EUR,2020-06-22,22066.66723
26,BZD,EUR,2020-06-22,2.269441
27,CAD,EUR,2020-06-22,1.523827
28,CDF,EUR,2020-06-22,2094.081841
29,CHF,EUR,2020-06-22,1.06685
30,CLF,EUR,2020-06-22,0.033356
31,CLP,EUR,2020-06-22,920.382296
32,CNY,EUR,2020-06-22,7.95796
33,COP,EUR,2020-06-22,4204.004087
34,CRC,EUR,2020-06-22,647.369107
35,CUC,EUR,2020-06-22,1.12585
36,CUP,EUR,2020-06-22,29.835035
37,CVE,EUR,2020-06-22,110.839892
38,CZK,EUR,2020-06-22,26.66971
39,DJF,EUR,2020-06-22,200.086643
40,DKK,EUR,2020-06-22,7.455046
41,DOP,EUR,2020-06-22,65.863404
42,DZD,EUR,2020-06-22,145.156001
43,EGP,EUR,2020-06-22,18.211417
44,ERN,EUR,2020-06-22,16.887939
45,ETB,EUR,2020-06-22,38.751278
46,EUR,EUR,2020-06-22,1.0
47,FJD,EUR,2020-06-22,2.461954
48,FKP,EUR,2020-06-22,0.903402
49,GBP,EUR,2020-06-22,0.903439
50,GEL,EUR,2020-06-22,3.439456
51,GGP,EUR,2020-06-22,0.903402
52,GHS,EUR,2020-06-22,6.518505
53,GIP,EUR,2020-06-22,0.903402
54,GMD,EUR,2020-06-22,58.149876
55,GNF,EUR,2020-06-22,10808.163479
56,GTQ,EUR,2020-06-22,8.681085
57,GYD,EUR,2020-06-22,235.156862
58,HKD,EUR,2020-06-22,8.72596
59,HNL,EUR,2020-06-22,28.124228
60,HRK,EUR,2020-06-22,7.623459
61,HTG,EUR,2020-06-22,122.262092
62,HUF,EUR,2020-06-22,347.279652
63,IDR,EUR,2020-06-22,16019.161973
64,ILS,EUR,2020-06-22,3.869987
65,IMP,EUR,2020-06-22,0.903402
66,INR,EUR,2020-06-22,85.259016
67,IQD,EUR,2020-06-22,1339.761939
68,IRR,EUR,2020-06-22,47403.929541
69,ISK,EUR,2020-06-22,155.400938
70,JEP,EUR,2020-06-22,0.903402
71,JMD,EUR,2020-06-22,157.938219
72,JOD,EUR,2020-06-22,0.798901
73,JPY,EUR,2020-06-22,120.372579
74,KES,EUR,2020-06-22,119.79451
75,KGS,EUR,2020-06-22,84.429883
76,KHR,EUR,2020-06-22,4577.14454
77,KMF,EUR,2020-06-22,492.503614
78,KPW,EUR,2020-06-22,1013.269328
79,KRW,EUR,2020-06-22,1361.935553
80,KWD,EUR,2020-06-22,0.346565
81,KYD,EUR,2020-06-22,0.938238
82,KZT,EUR,2020-06-22,453.643051
83,LAK,EUR,2020-06-22,10167.554664
84,LBP,EUR,2020-06-22,1704.537567
85,LKR,EUR,2020-06-22,210.20652
86,LRD,EUR,2020-06-22,224.391754
87,LSL,EUR,2020-06-22,19.449055
88,LTL,EUR,2020-06-22,3.324344
89,LVL,EUR,2020-06-22,0.681016
90,LYD,EUR,2020-06-22,1.575013
91,MAD,EUR,2020-06-22,10.857744
92,MDL,EUR,2020-06-22,19.510055
93,MGA,EUR,2020-06-22,4328.894418
94,MKD,EUR,2020-06-22,61.917001
95,MMK,EUR,2020-06-22,1568.949498
96,MNT,EUR,2020-06-22,3175.774146
97,MOP,EUR,2020-06-22,8.987606
98,MRO,EUR,2020-06-22,401.928971
99,MUR,EUR,2020-06-22,45.31532
100,MVR,EUR,2020-06-22,17.344126
101,MWK,EUR,2020-06-22,830.305506
102,MXN,EUR,2020-06-22,25.255865
103,MYR,EUR,2020-06-22,4.815824
104,MZN,EUR,2020-06-22,78.707869
105,NAD,EUR,2020-06-22,19.449098
106,NGN,EUR,2020-06-22,436.275397
107,NIO,EUR,2020-06-22,38.673039
108,NOK,EUR,2020-06-22,10.795458
109,NPR,EUR,2020-06-22,136.94764
110,NZD,EUR,2020-06-22,1.735281
111,OMR,EUR,2020-06-22,0.433479
112,PAB,EUR,2020-06-22,1.125885
113,PEN,EUR,2020-06-22,3.935934
114,PGK,EUR,2020-06-22,3.878594
115,PHP,EUR,2020-06-22,56.36626
116,PKR,EUR,2020-06-22,187.651117
117,PLN,EUR,2020-06-22,4.442324
118,PYG,EUR,2020-06-22,7591.412054
119,QAR,EUR,2020-06-22,4.099224
120,RON,EUR,2020-06-22,4.842732
121,RSD,EUR,2020-06-22,117.572292
122,RUB,EUR,2020-06-22,77.694372
123,RWF,EUR,2020-06-22,1072.372476
124,SAR,EUR,2020-06-22,4.22434
125,SBD,EUR,2020-06-22,9.381474
126,SCR,EUR,2020-06-22,19.684832
127,SDG,EUR,2020-06-22,62.268557
128,SEK,EUR,2020-06-22,10.549674
129,SGD,EUR,2020-06-22,1.567595
130,SHP,EUR,2020-06-22,0.903402
131,SLL,EUR,2020-06-22,10971.411546
132,SOS,EUR,2020-06-22,656.37042
133,SRD,EUR,2020-06-22,8.396558
134,STD,EUR,2020-06-22,24825.390779
135,SVC,EUR,2020-06-22,9.851247
136,SYP,EUR,2020-06-22,578.03447
137,SZL,EUR,2020-06-22,19.522128
138,THB,EUR,2020-06-22,34.845024
139,TJS,EUR,2020-06-22,11.601343
140,TMT,EUR,2020-06-22,3.940476
141,TND,EUR,2020-06-22,3.204734
142,TOP,EUR,2020-06-22,2.567277
143,TRY,EUR,2020-06-22,7.705168
144,TTD,EUR,2020-06-22,7.619625
145,TWD,EUR,2020-06-22,33.315601
146,TZS,EUR,2020-06-22,2608.595504
147,UAH,EUR,2020-06-22,30.030574
148,UGX,EUR,2020-06-22,4195.799231
149,USD,EUR,2020-06-22,1.12585
150,UYU,EUR,2020-06-22,48.104716
151,UZS,EUR,2020-06-22,11457.778911
152,VEF,EUR,2020-06-22,11.244429
153,VND,EUR,2020-06-22,26193.471757
154,VUV,EUR,2020-06-22,131.794814
155,WST,EUR,2020-06-22,3.035905
156,XAF,EUR,2020-06-22,658.595457
157,XAG,EUR,2020-06-22,0.063239
158,XAU,EUR,2020-06-22,0.000641
159,XCD,EUR,2020-06-22,3.042667
160,XDR,EUR,2020-06-22,0.817375
161,XOF,EUR,2020-06-22,658.62235
162,XPF,EUR,2020-06-22,119.812513
163,YER,EUR,2020-06-22,281.803262
164,ZAR,EUR,2020-06-22,19.476705
165,ZMK,EUR,2020-06-22,10134.008911
166,ZMW,EUR,2020-06-22,20.445725
167,ZWL,EUR,2020-06-22,362.52382
